1,10,8,2.0
2,20,8,2.7
3,6,9,4.2
4,7,9,4.5
5,8,9,4.7
6,9,9,4.0
7,11,9,5.5
8,2,10,0.3
9,3,10,0.5
10,5,10,0.3
11,10,10,0.5
12,14,10,0.5
13,20,10,1.0
14,1,4,0.5
15,2,4,0.3
16,3,4,0.5
17,4,4,0.5
18,5,4,0.5
19,6,4,0.5
20,7,4,0.5
21,8,4,0.5
22,9,4,0.3
23,10,4,0.6
24,11,4,1.0
25,12,4,0.8
26,13,4,2.0
27,14,4,0.5
28,15,4,0.3
29,16,4,1.5
30,17,4,1.0
31,18,4,0.5
32,19,4,0.4
33,20,4,0.5
34,1,6,0.3
35,2,6,0.4
36,5,6,0.5
37,6,6,0.5
38,7,6,1.0
39,8,6,0.5
40,9,6,0.5
41,10,6,0.4
42,13,6,1.5
43,15,6,1.0
44,17,6,2.5
45,18,6,1.0
46,19,6,0.4
47,20,6,0.5
48,1,1,1.0
49,2,1,1.0
50,5,1,1.5
51,8,1,0.5
52,14,1,2.0
53,15,1,1.0
54,20,1,1.0
55,1,3,1.0
56,2,3,1.0
57,3,3,1.0
58,4,3,1.0
59,5,3,1.0
60,6,3,1.0
61,7,3,1.0
62,8,3,0.5
63,9,3,0.7
64,10,3,1.0
65,11,3,1.0
66,12,3,1.1
67,13,3,2.0
68,14,3,1.0
69,15,3,1.0
70,16,3,1.0
71,17,3,1.0
72,18,3,1.0
73,19,3,1.0
74,20,3,0.6
75,1,2,0.4
76,2,2,1.0
77,5,2,0.5
78,8,2,0.5
79,14,2,1.0
80,15,2,0.7
81,20,2,0.4
82,2,11,1.0
83,3,11,1.0
84,5,11,0.5
85,6,11,0.5
86,7,11,0.3
87,12,11,0.8
88,13,11,0.3
89,14,11,1.5
90,15,11,0.3
91,16,11,2.0
92,18,11,0.3
93,20,11,1.0
94,1,7,1.5
95,2,7,1.0
96,5,7,1.0
97,7,7,0.5
98,8,7,0.5
99,9,7,1.0
100,15,7,0.5
101,16,7,1.0
102,17,7,3.0
103,18,7,2.0
104,19,7,2.0
105,1,5,2.0
106,2,5,2.0
107,5,5,2.0
108,6,5,2.0
109,7,5,2.0
110,15,5,2.0
111,18,5,2.0
112,19,5,2.0
113,1,12,0.3
114,4,12,0.5
115,5,12,0.2
116,6,12,0.3
117,7,12,0.2
118,8,12,0.3
119,9,12,0.5
120,10,12,0.5
121,11,12,0.5
122,12,12,0.3
123,13,12,0.2
124,14,12,0.5
125,15,12,0.2
126,16,12,0.5
127,17,12,0.5
128,18,12,0.2
129,19,12,0.2
130,20,12,0.3
